industry,Avg_emissions_2010,Avg_emissions_2011,Avg_emissions_2012,Avg_emissions_2013,Avg_emissions_2014,Avg_emissions_2015,Avg_emissions_2016,Avg_emissions_2017,Avg_emissions_2018,Avg_emissions_2019,Avg_emissions_2020,Avg_emissions_2021,Avg_emissions_2022,Total_Avg_Emissions
"Agriculture, Forestry and Fishing",537.1960897823742,541.746787649139,541.575892335365,551.0370132436612,553.0057573381915,558.0622354553392,558.2446452206608,560.7412950767826,564.1819575437823,565.3152590187217,568.4733753883825,574.6963604122521,576.4904331717566,7250.767101636409
Construction,69.10807575983478,68.39476116597393,69.15446920430436,70.25766123406956,70.5979049844522,71.7256662421739,71.57102223904346,71.02124578875653,72.31580857500866,73.13507564850434,72.65758774631303,75.65374897791301,77.10158137672171,932.6946089430694
"Electricity, Gas, Steam and Air Conditioning Supply",1121.5078920626177,1166.1521423044173,1190.5079812487656,1208.3228057133392,1215.6509926072001,1185.9175667566603,1166.2422673123135,1188.4114819383049,1223.0404958049999,1208.8422540665306,1171.1362053629468,1252.300697373348,1265.1703008363393,15563.203083387783
Manufacturing,798.5619547483066,832.1631625067339,844.3378936542581,858.2009413568477,868.0156949361455,853.4853536618385,826.784512560032,836.3655573574198,856.1426783453951,865.6467709970644,852.3444597747016,886.7215722970404,887.0483611654997,11065.818913361283
Mining,364.0890705898001,382.86302500683485,389.1696210830785,388.75753879256524,393.5125767865391,385.1933093080085,376.0173569478435,383.1570161228608,397.5153945654086,401.7809162957999,384.34787536842606,396.40431708456515,409.1767613472435,5051.984779298974
"Other Services Industries",151.21775026246783,147.58048972380652,145.64206430403232,150.11515636823384,150.6345169099033,157.3315634653145,151.5515206530404,153.19394776206445,155.01115613483873,155.96656289980646,147.04371252803227,151.57062408225002,155.42646543499995,1972.2855305287906
"Total Households",419.5329933297815,419.61916286826903,422.3280259134201,433.17997421025206,434.66994844313444,437.96554243098325,437.18361780065544,443.25674377248737,450.2582765387813,447.62924074858824,406.36488004957135,430.8291684948234,434.90015744805885,5617.717732048806
"Total Industry and Households",3764.4119378544424,3867.719367650903,3918.0470697362184,3982.941173690356,4016.6535249098133,3996.7543846654908,3942.694356088224,4004.580528877702,4096.703782048105,4099.5859899193,3937.457695045075,4118.607297108188,4173.471947180637,51919.62905477446
"Transportation and Storage",310.22060089346667,318.87666649574174,324.2560691232417,331.8312928009999,337.9010894263082,349.5577957483084,352.79128786880017,365.54215993082494,376.6727927982914,376.78651576065,321.79709128164177,343.0556916749749,360.1979269039583,4469.486980707208
"Water supply; sewerage, waste management and remediation activities",185.17277242454796,187.87900876113034,191.44037048036523,194.54095783852185,197.4810834208261,200.76566536292177,203.75624719151307,207.5384849156435,211.00480831791302,213.41647586371295,215.10277490312174,218.5424279782,222.2067753650435,2648.8478528234614
