country,Total_emission
World,2571252.2673490373
G20,2021696.001245474
"Emerging and Developing Economies",1841915.4688525803
Asia,1423046.2588453242
"Eastern Asia",834398.8271508149
"Advanced Economies",729336.7984861168
G7,569362.93498542
Americas,566298.8349073142
Europe,380809.2406737579
"Northern America",379605.1116024619
"Southern Asia",271229.684208277
"Latin America and the Caribbean",186693.723323919
"Eastern Europe",177172.058530609
Africa,166296.906983797
"South-eastern Asia",142130.736045411
"Western Asia",138311.19152079697
"Sub-Saharan Africa",115064.867423157
"Western Europe",96097.00628166499
"Southern Europe",56543.468970459
"Northern Africa",51232.03955381401
"Northern Europe",50996.706891196
"Central Asia",36975.81991111
Oceania,34801.025945428
"Australia and New Zealand",33595.926375048
"Other Oceania sub-regions",1205.0995704
